age,tenure_years,num_policies,annual_premium,num_claims,claim_amount,policy_type,region,complaint_count,contacted_support,premium_increase_pct,satisfaction_score,years_since_last_claim,digital_engagement,churn
60,6,2,1961,1,2816,Life,South,1,0,27.57,2,3,0,1
50,15,2,4016,0,0,Home,South,0,0,8.54,4,6,0,0
36,18,1,1659,4,2220,Life,North,2,1,19.84,3,4,1,1
64,11,2,886,0,0,Health,South,1,0,3.37,1,9,1,0
29,15,1,2541,0,0,Auto,South,0,0,11.77,2,3,1,0
42,16,1,3053,1,778,Auto,West,1,0,22.23,5,9,1,0
60,7,3,2218,1,1840,Auto,West,2,1,6.74,3,9,0,1
40,10,4,4550,0,0,Auto,North,3,0,17.69,2,2,0,1
44,12,1,3909,2,4416,Auto,West,3,1,4.6,3,5,0,1
32,14,3,1189,2,3846,Auto,North,0,1,3.08,3,1,1,0
32,5,3,1669,1,363,Auto,East,0,1,15.7,2,3,1,0
45,18,3,1452,2,1674,Health,South,0,0,20.25,5,7,1,0
57,5,1,3996,0,0,Health,North,0,1,3.4,3,1,0,0
61,3,4,4417,2,5386,Auto,West,2,0,27.53,1,8,0,1
45,5,1,2984,0,0,Home,East,0,0,6.77,5,1,1,0
24,17,1,2354,4,2156,Life,West,1,0,3.6,4,7,0,0
43,19,1,3939,1,925,Health,North,1,1,6.08,3,7,1,0
23,19,2,3731,0,0,Home,East,1,0,5.09,3,6,0,0
45,12,1,3097,1,1234,Health,West,0,0,2.72,5,9,0,0
65,9,1,4483,1,1845,Life,East,0,1,23.94,3,5,0,1
51,1,1,2691,1,332,Auto,South,0,0,14.87,4,0,1,0
59,18,3,3135,0,0,Home,South,0,0,11.66,3,1,0,0
23,4,3,1156,0,0,Auto,East,3,1,28.52,3,6,0,1
42,10,1,4312,0,0,Auto,West,1,1,11.13,4,3,1,0
54,7,3,3840,1,2326,Life,West,0,0,5.01,3,8,1,0
33,1,3,4411,0,0,Home,West,2,0,8.22,1,2,1,1
43,17,3,2296,1,808,Health,South,0,1,7.17,5,3,0,0
65,2,1,4863,0,0,Home,North,1,0,14.96,2,2,1,0
46,11,2,2262,2,2494,Health,North,0,0,8.75,3,6,0,0
48,9,4,4972,0,0,Life,East,1,1,15.48,4,1,0,0
63,7,2,3785,3,4272,Health,West,0,0,20.08,4,9,1,0
49,17,1,2085,0,0,Life,East,0,0,23.32,3,1,0,0
37,17,2,4063,1,2603,Auto,North,0,0,21.3,4,1,1,0
36,2,2,2940,0,0,Home,North,0,0,6.17,2,3,1,0
68,6,2,3600,1,1749,Auto,West,1,1,3.48,4,7,0,0
65,14,1,3744,2,3054,Home,East,0,0,16.27,5,7,0,0
24,6,1,1540,1,1764,Health,West,1,0,5.97,5,7,1,0
58,2,3,3627,1,249,Auto,North,1,1,2.55,4,7,1,0
28,1,3,2773,0,0,Auto,North,1,0,15.81,3,6,1,0
42,10,1,4129,1,1705,Auto,West,1,1,9.8,2,5,1,1
30,5,4,2614,1,2702,Health,East,0,0,22.68,3,6,1,0
60,2,1,2177,0,0,Auto,South,0,1,9.43,3,4,0,0
39,16,2,3594,1,1575,Auto,West,2,0,29.36,2,7,1,1
25,2,3,1498,0,0,Life,North,1,0,22.76,5,1,0,0
46,10,3,2784,3,5616,Auto,South,1,0,1.73,5,4,1,0
35,2,4,2089,0,0,Home,West,1,1,15.27,1,6,0,1
30,16,1,1661,1,1215,Health,South,0,1,16.88,4,8,1,0
47,16,3,3020,1,535,Auto,West,1,1,20.86,4,9,0,0
23,19,1,4355,5,4325,Auto,North,2,0,14.93,2,0,1,1
41,7,2,1194,1,280,Auto,West,0,0,14.5,3,8,1,0
49,12,2,4912,0,0,Health,South,2,1,11.04,3,2,1,0
68,15,2,4298,0,0,Home,East,0,1,8.14,2,0,1,0
28,8,1,4183,1,457,Health,North,0,1,28.39,4,6,1,0
65,6,3,2471,3,3570,Life,North,2,0,9.53,5,2,0,1
29,10,1,2003,0,0,Auto,South,1,0,1.9,3,7,1,0
68,3,1,3749,0,0,Auto,West,2,0,5.02,4,1,1,0
56,19,2,4718,0,0,Auto,West,2,0,25.72,3,3,0,1
35,17,2,3742,1,322,Life,West,0,1,17.6,5,1,1,0
38,7,3,2368,2,1608,Life,North,1,1,23.36,5,3,1,1
57,4,1,2171,0,0,Home,North,0,0,24.26,2,0,1,0
61,14,1,1582,1,1103,Life,South,0,0,24.7,5,9,0,0
25,15,3,2228,0,0,Auto,West,0,0,16.52,2,4,1,0
23,8,2,4351,0,0,Auto,West,1,1,5.31,1,2,0,1
27,15,1,2642,1,1594,Auto,South,0,1,4.45,4,8,1,0
63,14,2,1648,0,0,Life,North,1,0,17.22,3,3,1,0
25,9,2,753,2,3016,Auto,North,1,1,11.0,3,5,1,0
50,8,2,4602,0,0,Home,East,0,0,16.74,4,8,1,0
39,17,2,4042,1,2065,Health,East,1,0,14.95,1,1,0,0
47,2,3,3275,2,4282,Health,West,0,1,18.07,3,6,1,0
65,3,3,3833,0,0,Health,North,0,1,0.96,3,2,0,0
55,8,2,4684,0,0,Life,West,1,1,0.99,3,0,0,0
